1,2,3,4,5,6,7,8,9,10
Schindler's List (1993),Star Wars (1977),Return of the Jedi (1983),Casablanca (1942),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)",Gone with the Wind (1939),Field of Dreams (1989),Dances with Wolves (1990),Glory (1989)
Leaving Las Vegas (1995),Good Will Hunting (1997),Return of the Jedi (1983),Happy Gilmore (1996),"Long Kiss Goodnight, The (1996)",Apt Pupil (1998),"Time to Kill, A (1996)","Spitfire Grill, The (1996)",Swingers (1996),As Good As It Gets (1997)
Raiders of the Lost Ark (1981),Return of the Jedi (1983),Sense and Sensibility (1995),"Shawshank Redemption, The (1994)","Boot, Das (1981)",When We Were Kings (1996),Toy Story (1995),"Usual Suspects, The (1995)",Titanic (1997),Secrets & Lies (1996)
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",This Is Spinal Tap (1984),Apollo 13 (1995),Forrest Gump (1994),M*A*S*H (1970),One Flew Over the Cuckoo's Nest (1975),"Boot, Das (1981)",Annie Hall (1977),Twelve Monkeys (1995)
Casablanca (1942),Star Wars (1977),"Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962),2001: A Space Odyssey (1968),Patton (1970),Schindler's List (1993),Rear Window (1954),"Maltese Falcon, The (1941)","Usual Suspects, The (1995)"
L.A. Confidential (1997),Titanic (1997),Fargo (1996),"Silence of the Lambs, The (1991)",Monty Python and the Holy Grail (1974),Contact (1997),Good Will Hunting (1997),Psycho (1960),Citizen Kane (1941),"Full Monty, The (1997)"
Forrest Gump (1994),Psycho (1960),Fried Green Tomatoes (1991),"Empire Strikes Back, The (1980)","Lion King, The (1994)",Braveheart (1995),Field of Dreams (1989),Beauty and the Beast (1991),One Flew Over the Cuckoo's Nest (1975),"Sound of Music, The (1965)"
Star Wars (1977),Fargo (1996),E.T. the Extra-Terrestrial (1982),Titanic (1997),L.A. Confidential (1997),Schindler's List (1993),Dances with Wolves (1990),When Harry Met Sally... (1989),Gone with the Wind (1939),Fantasia (1940)
Titanic (1997),L.A. Confidential (1997),Star Wars (1977),Air Force One (1997),Chasing Amy (1997),Good Will Hunting (1997),Boogie Nights (1997),"Godfather, The (1972)","Full Monty, The (1997)",Chasing Amy (1997)
"Great Escape, The (1963)","Silence of the Lambs, The (1991)",E.T. the Extra-Terrestrial (1982),"Godfather, The (1972)",Fargo (1996),Dead Man Walking (1995),Glory (1989),Contact (1997),Apollo 13 (1995),When Harry Met Sally... (1989)
Titanic (1997),Apt Pupil (1998),Contact (1997),Chasing Amy (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Cop Land (1997),Air Force One (1997),Jackie Brown (1997),Lost Highway (1997),"Rainmaker, The (1997)"
Titanic (1997),L.A. Confidential (1997),Star Wars (1977),"Full Monty, The (1997)","Godfather, The (1972)",Return of the Jedi (1983),"Godfather: Part II, The (1974)",Fargo (1996),Braveheart (1995),Good Will Hunting (1997)
Fargo (1996),"Godfather, The (1972)",Star Wars (1977),Apt Pupil (1998),Dead Man Walking (1995),"English Patient, The (1996)","Boot, Das (1981)",Titanic (1997),"Full Monty, The (1997)",Good Will Hunting (1997)
Fargo (1996),Sense and Sensibility (1995),Star Wars (1977),"Time to Kill, A (1996)",Dead Man Walking (1995),"Sting, The (1973)",Mr. Holland's Opus (1995),M*A*S*H (1970),"Rock, The (1996)",Star Trek: First Contact (1996)
"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",Return of the Jedi (1983),Fargo (1996),Secrets & Lies (1996),Casablanca (1942),"Godfather, The (1972)","Wizard of Oz, The (1939)","Usual Suspects, The (1995)",Willy Wonka and the Chocolate Factory (1971)
Titanic (1997),Star Wars (1977),2001: A Space Odyssey (1968),Brazil (1985),Secrets & Lies (1996),"English Patient, The (1996)",Fly Away Home (1996),"Close Shave, A (1995)","Wedding Singer, The (1998)","Clockwork Orange, A (1971)"
"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Terminator, The (1984)","Godfather, The (1972)",Monty Python and the Holy Grail (1974),Braveheart (1995),Fargo (1996),Die Hard (1988),Aliens (1986),"Fugitive, The (1993)"
Star Wars (1977),Apt Pupil (1998),G.I. Jane (1997),"Big Lebowski, The (1998)","Godfather, The (1972)",As Good As It Gets (1997),"Boot, Das (1981)","Silence of the Lambs, The (1991)",Liar Liar (1997),Toy Story (1995)
Raiders of the Lost Ark (1981),Pulp Fiction (1994),"Godfather, The (1972)","Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),Return of the Jedi (1983),"Terminator, The (1984)",Rear Window (1954),Casablanca (1942),Star Trek: The Wrath of Khan (1982)
"Godfather, The (1972)",Monty Python and the Holy Grail (1974),Apocalypse Now (1979),Citizen Kane (1941),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Psycho (1960),Secrets & Lies (1996),Full Metal Jacket (1987),Much Ado About Nothing (1993)
"Godfather, The (1972)",Men in Black (1997),L.A. Confidential (1997),Raiders of the Lost Ark (1981),Air Force One (1997),Mr. Holland's Opus (1995),"Shawshank Redemption, The (1994)",Twister (1996),Good Will Hunting (1997),Twelve Monkeys (1995)
Star Wars (1977),Schindler's List (1993),"Silence of the Lambs, The (1991)",Return of the Jedi (1983),Forrest Gump (1994),Raiders of the Lost Ark (1981),Philadelphia (1993),"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),"Empire Strikes Back, The (1980)"
Air Force One (1997),"Godfather, The (1972)",Star Wars (1977),Schindler's List (1993),Titanic (1997),"Boot, Das (1981)",Dead Man Walking (1995),Sense and Sensibility (1995),Jerry Maguire (1996),"Princess Bride, The (1987)"
Star Wars (1977),Casablanca (1942),"Silence of the Lambs, The (1991)",Return of the Jedi (1983),It's a Wonderful Life (1946),North by Northwest (1959),Vertigo (1958),Titanic (1997),"African Queen, The (1951)",Raiders of the Lost Ark (1981)
Raiders of the Lost Ark (1981),Star Wars (1977),Lawrence of Arabia (1962),Schindler's List (1993),"Fugitive, The (1993)",Contact (1997),Casablanca (1942),"Silence of the Lambs, The (1991)",Aladdin (1992),One Flew Over the Cuckoo's Nest (1975)
Star Wars (1977),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Terminator 2: Judgment Day (1991),"Empire Strikes Back, The (1980)",Toy Story (1995),Braveheart (1995),Boogie Nights (1997),"Princess Bride, The (1987)",Psycho (1960)
"Usual Suspects, The (1995)",Aliens (1986),Return of the Jedi (1983),"Empire Strikes Back, The (1980)",Schindler's List (1993),Back to the Future (1985),Forrest Gump (1994),Raising Arizona (1987),Dead Poets Society (1989),"Princess Bride, The (1987)"
L.A. Confidential (1997),Good Will Hunting (1997),Leaving Las Vegas (1995),"Godfather, The (1972)",Air Force One (1997),Amistad (1997),Men in Black (1997),Twelve Monkeys (1995),Star Wars (1977),Chasing Amy (1997)
Titanic (1997),Wag the Dog (1997),Boogie Nights (1997),"Full Monty, The (1997)",L.A. Confidential (1997),Chasing Amy (1997),Good Will Hunting (1997),Ulee's Gold (1997),Amistad (1997),Shadow Conspiracy (1997)
Star Wars (1977),Contact (1997),"Silence of the Lambs, The (1991)","Full Monty, The (1997)",Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),Alien (1979),Chasing Amy (1997),Leaving Las Vegas (1995)
Titanic (1997),Good Will Hunting (1997),G.I. Jane (1997),Amistad (1997),"Full Monty, The (1997)",Air Force One (1997),Star Wars (1977),L.A. Confidential (1997),Return of the Jedi (1983),Fargo (1996)
"Godfather, The (1972)",Pulp Fiction (1994),Schindler's List (1993),Titanic (1997),Contact (1997),Evita (1996),"Shawshank Redemption, The (1994)",Twelve Monkeys (1995),"Sound of Music, The (1965)",Return of the Jedi (1983)
Schindler's List (1993),"Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),"Fugitive, The (1993)","Shawshank Redemption, The (1994)",Contact (1997),Gandhi (1982),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Close Shave, A (1995)"
Titanic (1997),Good Will Hunting (1997),"Godfather, The (1972)","Full Monty, The (1997)","Usual Suspects, The (1995)",Big Night (1996),L.A. Confidential (1997),"Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)",Jerry Maguire (1996)
Star Wars (1977),"Godfather, The (1972)",Titanic (1997),Monty Python and the Holy Grail (1974),Dead Man Walking (1995),Lone Star (1996),Secrets & Lies (1996),Amadeus (1984),"Wrong Trousers, The (1993)",Indiana Jones and the Last Crusade (1989)
Return of the Jedi (1983),Twelve Monkeys (1995),"Godfather, The (1972)",Courage Under Fire (1996),"Silence of the Lambs, The (1991)",When We Were Kings (1996),In & Out (1997),Good Will Hunting (1997),Jaws (1975),Trainspotting (1996)
Star Wars (1977),"Boot, Das (1981)",Lone Star (1996),L.A. Confidential (1997),Good Will Hunting (1997),Titanic (1997),"Full Monty, The (1997)",Ulee's Gold (1997),Emma (1996),Contact (1997)
Star Wars (1977),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)","Godfather: Part II, The (1974)",One Flew Over the Cuckoo's Nest (1975),Braveheart (1995),Twelve Monkeys (1995),Terminator 2: Judgment Day (1991),Star Trek: The Wrath of Khan (1982),"Good, The Bad and The Ugly, The (1966)"
"Shawshank Redemption, The (1994)",Return of the Jedi (1983),"Silence of the Lambs, The (1991)",Alien (1979),Braveheart (1995),"Godfather: Part II, The (1974)",Casablanca (1942),Twelve Monkeys (1995),Monty Python and the Holy Grail (1974),GoodFellas (1990)
"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Star Wars (1977),Fargo (1996),"Shawshank Redemption, The (1994)",Apocalypse Now (1979),Annie Hall (1977),"Clockwork Orange, A (1971)",To Kill a Mockingbird (1962)
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)","Godfather, The (1972)",Toy Story (1995),Titanic (1997),Fargo (1996),"Empire Strikes Back, The (1980)",Terminator 2: Judgment Day (1991),Jerry Maguire (1996),Schindler's List (1993)
Star Wars (1977),Casablanca (1942),"Shawshank Redemption, The (1994)","Empire Strikes Back, The (1980)","Graduate, The (1967)",Schindler's List (1993),Psycho (1960),Citizen Kane (1941),M*A*S*H (1970),"Hunt for Red October, The (1990)"
Schindler's List (1993),Apollo 13 (1995),Casablanca (1942),"Shawshank Redemption, The (1994)","Wizard of Oz, The (1939)",Blade Runner (1982),"African Queen, The (1951)",Psycho (1960),Vertigo (1958),Rear Window (1954)
L.A. Confidential (1997),Fargo (1996),Air Force One (1997),"Big Lebowski, The (1998)",Face/Off (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Star Wars (1977),Dead Man Walking (1995),Babe (1995),Forrest Gump (1994)
Star Wars (1977),Sense and Sensibility (1995),Titanic (1997),Amadeus (1984),"Godfather, The (1972)",Raiders of the Lost Ark (1981),When Harry Met Sally... (1989),"Princess Bride, The (1987)",Toy Story (1995),Return of the Jedi (1983)
"Princess Bride, The (1987)","Empire Strikes Back, The (1980)",Blade Runner (1982),Schindler's List (1993),"Hunt for Red October, The (1990)",Alien (1979),"Silence of the Lambs, The (1991)",Aliens (1986),"Shawshank Redemption, The (1994)",Contact (1997)
"Shawshank Redemption, The (1994)","Godfather, The (1972)",Pulp Fiction (1994),Braveheart (1995),Monty Python and the Holy Grail (1974),Aliens (1986),Return of the Jedi (1983),Seven (Se7en) (1995),Indiana Jones and the Last Crusade (1989),One Flew Over the Cuckoo's Nest (1975)
"Godfather, The (1972)","Shawshank Redemption, The (1994)",Schindler's List (1993),"Rock, The (1996)",Men in Black (1997),Return of the Jedi (1983),"Silence of the Lambs, The (1991)",Star Trek: The Wrath of Khan (1982),Seven (Se7en) (1995),"Blues Brothers, The (1980)"
"Full Monty, The (1997)",Sense and Sensibility (1995),Fargo (1996),Star Wars (1977),Air Force One (1997),Ulee's Gold (1997),Return of the Jedi (1983),Amistad (1997),Good Will Hunting (1997),Dead Man Walking (1995)
"Godfather, The (1972)",Star Wars (1977),"Truth About Cats & Dogs, The (1996)","Godfather: Part II, The (1974)","Princess Bride, The (1987)",Schindler's List (1993),Chasing Amy (1997),Toy Story (1995),Monty Python and the Holy Grail (1974),Dead Man Walking (1995)
"Shawshank Redemption, The (1994)",Fargo (1996),"Time to Kill, A (1996)",To Kill a Mockingbird (1962),"Godfather, The (1972)",Rear Window (1954),"Piano, The (1993)",Star Wars (1977),Apocalypse Now (1979),Philadelphia (1993)
Good Will Hunting (1997),Titanic (1997),"Full Monty, The (1997)",Contact (1997),L.A. Confidential (1997),Fargo (1996),Ulee's Gold (1997),Star Wars (1977),Dead Man Walking (1995),Cop Land (1997)
"Full Monty, The (1997)",Apt Pupil (1998),L.A. Confidential (1997),Good Will Hunting (1997),Dead Man Walking (1995),Kolya (1996),As Good As It Gets (1997),"Wings of the Dove, The (1997)",To Kill a Mockingbird (1962),Lone Star (1996)
Star Wars (1977),"Sting, The (1973)",Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (1981),Braveheart (1995),One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)","Blues Brothers, The (1980)",Titanic (1997),"Rock, The (1996)"
Titanic (1997),"Full Monty, The (1997)",Contact (1997),As Good As It Gets (1997),Cop Land (1997),Starship Troopers (1997),Kiss the Girls (1997),Scream 2 (1997),"Thousand Acres, A (1997)",Fly Away Home (1996)
Titanic (1997),"Godfather, The (1972)",Star Wars (1977),"Big Lebowski, The (1998)","Usual Suspects, The (1995)",As Good As It Gets (1997),Return of the Jedi (1983),Babe (1995),"Game, The (1997)","Full Monty, The (1997)"
Star Wars (1977),"Silence of the Lambs, The (1991)","Full Monty, The (1997)",It's a Wonderful Life (1946),Schindler's List (1993),Toy Story (1995),Star Trek: The Wrath of Khan (1982),Dead Man Walking (1995),"Fish Called Wanda, A (1988)",Good Will Hunting (1997)
"Godfather, The (1972)",Raiders of the Lost Ark (1981),"Boot, Das (1981)",Sense and Sensibility (1995),Schindler's List (1993),Star Trek: The Wrath of Khan (1982),"Princess Bride, The (1987)","Empire Strikes Back, The (1980)",Casablanca (1942),"Wrong Trousers, The (1993)"
L.A. Confidential (1997),Schindler's List (1993),"Shawshank Redemption, The (1994)","Godfather, The (1972)",Amadeus (1984),Casablanca (1942),"Godfather: Part II, The (1974)",Pulp Fiction (1994),"Clockwork Orange, A (1971)",Star Wars (1977)
Star Wars (1977),"Godfather, The (1972)",Titanic (1997),Fargo (1996),"Silence of the Lambs, The (1991)",Trainspotting (1996),Return of the Jedi (1983),Twelve Monkeys (1995),Toy Story (1995),"Boot, Das (1981)"
Star Wars (1977),"Empire Strikes Back, The (1980)",E.T. the Extra-Terrestrial (1982),Braveheart (1995),"Princess Bride, The (1987)",Titanic (1997),Indiana Jones and the Last Crusade (1989),"Fugitive, The (1993)",To Kill a Mockingbird (1962),"Silence of the Lambs, The (1991)"
Pulp Fiction (1994),"Godfather, The (1972)",Raiders of the Lost Ark (1981),Return of the Jedi (1983),Schindler's List (1993),Die Hard (1988),Amadeus (1984),Reservoir Dogs (1992),One Flew Over the Cuckoo's Nest (1975),Twelve Monkeys (1995)
Fargo (1996),Blade Runner (1982),Schindler's List (1993),Aliens (1986),Dead Man Walking (1995),Lone Star (1996),One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)",Contact (1997),Titanic (1997)
"Usual Suspects, The (1995)",Pulp Fiction (1994),Alien (1979),Schindler's List (1993),Citizen Kane (1941),"Shawshank Redemption, The (1994)",2001: A Space Odyssey (1968),Lawrence of Arabia (1962),Amadeus (1984),Braveheart (1995)
"Godfather, The (1972)","Close Shave, A (1995)",Good Will Hunting (1997),Scream (1996),Secrets & Lies (1996),Sense and Sensibility (1995),Michael Collins (1996),Apt Pupil (1998),"Pillow Book, The (1995)",Mr. Holland's Opus (1995)
"Princess Bride, The (1987)","Silence of the Lambs, The (1991)",Casablanca (1942),Amadeus (1984),Monty Python's Life of Brian (1979),"Shawshank Redemption, The (1994)",Indiana Jones and the Last Crusade (1989),"Godfather, The (1972)",2001: A Space Odyssey (1968),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
L.A. Confidential (1997),Butch Cassidy and the Sundance Kid (1969),Kolya (1996),"English Patient, The (1996)",Raiders of the Lost Ark (1981),"Full Monty, The (1997)","Postino, Il (1994)",Lone Star (1996),Star Trek: First Contact (1996),Good Will Hunting (1997)
Star Wars (1977),"Godfather, The (1972)","Usual Suspects, The (1995)",Braveheart (1995),Schindler's List (1993),Citizen Kane (1941),"Empire Strikes Back, The (1980)","Clockwork Orange, A (1971)",Titanic (1997),Casablanca (1942)
"Silence of the Lambs, The (1991)","Empire Strikes Back, The (1980)",It's a Wonderful Life (1946),"Shawshank Redemption, The (1994)",Glory (1989),"Usual Suspects, The (1995)",Fargo (1996),"Princess Bride, The (1987)",North by Northwest (1959),Titanic (1997)
Citizen Kane (1941),Star Wars (1977),"Empire Strikes Back, The (1980)",Schindler's List (1993),"Godfather, The (1972)",Raiders of the Lost Ark (1981),Pulp Fiction (1994),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),Big Night (1996)
Titanic (1997),L.A. Confidential (1997),Star Wars (1977),Chasing Amy (1997),Fargo (1996),Antonia's Line (1995),"Godfather, The (1972)","Full Monty, The (1997)",Wag the Dog (1997),"English Patient, The (1996)"
"Empire Strikes Back, The (1980)",Braveheart (1995),Raiders of the Lost Ark (1981),Monty Python and the Holy Grail (1974),Terminator 2: Judgment Day (1991),It's a Wonderful Life (1946),"Silence of the Lambs, The (1991)","Princess Bride, The (1987)",Men in Black (1997),Rear Window (1954)
Contact (1997),Air Force One (1997),Star Wars (1977),"Full Monty, The (1997)",Fargo (1996),Twelve Monkeys (1995),Titanic (1997),Gattaca (1997),Lone Star (1996),Toy Story (1995)
"Empire Strikes Back, The (1980)",Schindler's List (1993),Terminator 2: Judgment Day (1991),"Fugitive, The (1993)",GoodFellas (1990),Blade Runner (1982),Apocalypse Now (1979),Dead Man Walking (1995),Forrest Gump (1994),Return of the Jedi (1983)
Star Wars (1977),"Game, The (1997)",G.I. Jane (1997),Wag the Dog (1997),"Devil's Advocate, The (1997)",L.A. Confidential (1997),Scream (1996),Apt Pupil (1998),Rosewood (1997),"Godfather, The (1972)"
Fargo (1996),Star Wars (1977),One Flew Over the Cuckoo's Nest (1975),Fantasia (1940),Casablanca (1942),Pulp Fiction (1994),Rear Window (1954),Taxi Driver (1976),Titanic (1997),Chasing Amy (1997)
Star Wars (1977),Fargo (1996),Air Force One (1997),Lone Star (1996),Dead Man Walking (1995),"Godfather, The (1972)",Trainspotting (1996),Boogie Nights (1997),"Boot, Das (1981)",Seven Years in Tibet (1997)
"Godfather, The (1972)","Princess Bride, The (1987)",Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),"Fugitive, The (1993)",Fargo (1996),Twelve Monkeys (1995),"Usual Suspects, The (1995)"
"Usual Suspects, The (1995)","Godfather, The (1972)",Casablanca (1942),Fargo (1996),Monty Python and the Holy Grail (1974),Blade Runner (1982),"Graduate, The (1967)",Alien (1979),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather: Part II, The (1974)"
Air Force One (1997),L.A. Confidential (1997),Titanic (1997),Star Wars (1977),Apt Pupil (1998),Good Will Hunting (1997),Sense and Sensibility (1995),Dead Man Walking (1995),Kiss the Girls (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
Return of the Jedi (1983),L.A. Confidential (1997),"Godfather, The (1972)",Fargo (1996),Contact (1997),Sense and Sensibility (1995),Willy Wonka and the Chocolate Factory (1971),Donnie Brasco (1997),"Princess Bride, The (1987)","Empire Strikes Back, The (1980)"
Star Wars (1977),"Empire Strikes Back, The (1980)","Silence of the Lambs, The (1991)",Schindler's List (1993),Raiders of the Lost Ark (1981),Return of the Jedi (1983),Back to the Future (1985),To Kill a Mockingbird (1962),Alien (1979),"Godfather: Part II, The (1974)"
Casablanca (1942),North by Northwest (1959),Fargo (1996),One Flew Over the Cuckoo's Nest (1975),Citizen Kane (1941),Apocalypse Now (1979),"Silence of the Lambs, The (1991)","Godfather, The (1972)",Alien (1979),Rear Window (1954)
Raiders of the Lost Ark (1981),Fargo (1996),Citizen Kane (1941),"Silence of the Lambs, The (1991)",2001: A Space Odyssey (1968),"Clockwork Orange, A (1971)",Pulp Fiction (1994),Schindler's List (1993),Apocalypse Now (1979),"Usual Suspects, The (1995)"
Star Wars (1977),Return of the Jedi (1983),Terminator 2: Judgment Day (1991),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Titanic (1997),Blade Runner (1982),Casablanca (1942)
"Godfather, The (1972)",Jerry Maguire (1996),Titanic (1997),Secrets & Lies (1996),Star Wars (1977),Return of the Jedi (1983),Annie Hall (1977),Citizen Kane (1941),Sense and Sensibility (1995),Casablanca (1942)
Star Wars (1977),Titanic (1997),L.A. Confidential (1997),Dead Man Walking (1995),Schindler's List (1993),"Terminator, The (1984)",Indiana Jones and the Last Crusade (1989),Good Will Hunting (1997),"Fugitive, The (1993)",Terminator 2: Judgment Day (1991)
Good Will Hunting (1997),Air Force One (1997),Monty Python and the Holy Grail (1974),Gattaca (1997),Kolya (1996),"Full Monty, The (1997)",Jackie Brown (1997),Toy Story (1995),Star Wars (1977),To Kill a Mockingbird (1962)
Casablanca (1942),Contact (1997),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),Dead Man Walking (1995),It's a Wonderful Life (1946),"Silence of the Lambs, The (1991)","Killing Fields, The (1984)","Empire Strikes Back, The (1980)",Star Wars (1977)
Titanic (1997),Good Will Hunting (1997),"Rainmaker, The (1997)",L.A. Confidential (1997),Air Force One (1997),Apt Pupil (1998),Conspiracy Theory (1997),"Big Lebowski, The (1998)",Star Wars (1977),Contact (1997)
Star Wars (1977),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Godfather, The (1972)","Shawshank Redemption, The (1994)",Return of the Jedi (1983),Reservoir Dogs (1992),Indiana Jones and the Last Crusade (1989),Contact (1997),Monty Python and the Holy Grail (1974)
Star Wars (1977),Casablanca (1942),To Kill a Mockingbird (1962),Citizen Kane (1941),"Silence of the Lambs, The (1991)",Schindler's List (1993),"Maltese Falcon, The (1941)",Monty Python and the Holy Grail (1974),Fargo (1996),It's a Wonderful Life (1946)
One Flew Over the Cuckoo's Nest (1975),Wag the Dog (1997),Good Will Hunting (1997),Apt Pupil (1998),"Boot, Das (1981)","Graduate, The (1967)",Citizen Kane (1941),Vertigo (1958),"Full Monty, The (1997)","Rainmaker, The (1997)"
"Godfather, The (1972)","Usual Suspects, The (1995)",Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Clerks (1994),"Princess Bride, The (1987)",Schindler's List (1993),Aliens (1986),Pulp Fiction (1994),Blade Runner (1982)
Titanic (1997),L.A. Confidential (1997),Good Will Hunting (1997),Dead Man Walking (1995),"Godfather, The (1972)",Air Force One (1997),Contact (1997),Ulee's Gold (1997),Fargo (1996),Apt Pupil (1998)
Fargo (1996),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Casablanca (1942),Vertigo (1958),"Boot, Das (1981)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),Blade Runner (1982),"Graduate, The (1967)"
Star Wars (1977),Braveheart (1995),"Empire Strikes Back, The (1980)",North by Northwest (1959),"Blues Brothers, The (1980)","Hunt for Red October, The (1990)",Apollo 13 (1995),Back to the Future (1985),Monty Python and the Holy Grail (1974),Die Hard (1988)
Star Wars (1977),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),2001: A Space Odyssey (1968),"Godfather, The (1972)","Boot, Das (1981)",Casablanca (1942),Lawrence of Arabia (1962),Patton (1970)
Fargo (1996),Alien (1979),Braveheart (1995),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Lawrence of Arabia (1962),Casablanca (1942),Platoon (1986),"Fugitive, The (1993)",Amadeus (1984)
Kolya (1996),Leaving Las Vegas (1995),Fargo (1996),"Boot, Das (1981)",As Good As It Gets (1997),Contact (1997),"Full Monty, The (1997)",Scream (1996),Good Will Hunting (1997),Return of the Jedi (1983)
Raiders of the Lost Ark (1981),Terminator 2: Judgment Day (1991),Star Wars (1977),"Usual Suspects, The (1995)",Braveheart (1995),"Princess Bride, The (1987)","Fugitive, The (1993)","Godfather, The (1972)",To Kill a Mockingbird (1962),Monty Python's Life of Brian (1979)
"Godfather, The (1972)",Titanic (1997),Secrets & Lies (1996),"Close Shave, A (1995)",Fargo (1996),Star Wars (1977),Good Will Hunting (1997),"Boot, Das (1981)",Twelve Monkeys (1995),Mr. Holland's Opus (1995)
Raiders of the Lost Ark (1981),Braveheart (1995),"Silence of the Lambs, The (1991)",Schindler's List (1993),"Blues Brothers, The (1980)",Return of the Jedi (1983),Reservoir Dogs (1992),"Godfather: Part II, The (1974)",Monty Python and the Holy Grail (1974),"Godfather, The (1972)"
L.A. Confidential (1997),Good Will Hunting (1997),Titanic (1997),Star Wars (1977),Jackie Brown (1997),Apt Pupil (1998),Dead Man Walking (1995),"Silence of the Lambs, The (1991)","Truth About Cats & Dogs, The (1996)",Return of the Jedi (1983)
Fargo (1996),Monty Python and the Holy Grail (1974),Rear Window (1954),Amadeus (1984),L.A. Confidential (1997),Apocalypse Now (1979),"Princess Bride, The (1987)",One Flew Over the Cuckoo's Nest (1975),Sling Blade (1996),"Shawshank Redemption, The (1994)"
"Full Monty, The (1997)",L.A. Confidential (1997),Apt Pupil (1998),Star Wars (1977),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Fargo (1996),G.I. Jane (1997),"Boot, Das (1981)",Nikita (La Femme Nikita) (1990),Dead Man Walking (1995)
Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",Braveheart (1995),"Empire Strikes Back, The (1980)","Shawshank Redemption, The (1994)",Schindler's List (1993),Die Hard (1988),Reservoir Dogs (1992),Contact (1997)
Toy Story (1995),Raiders of the Lost Ark (1981),"Rock, The (1996)",Fargo (1996),Men in Black (1997),"Full Monty, The (1997)",One Flew Over the Cuckoo's Nest (1975),Titanic (1997),Contact (1997),"Silence of the Lambs, The (1991)"
Raiders of the Lost Ark (1981),Pulp Fiction (1994),"Princess Bride, The (1987)",Star Wars (1977),"Empire Strikes Back, The (1980)",One Flew Over the Cuckoo's Nest (1975),Return of the Jedi (1983),Arsenic and Old Lace (1944),Casablanca (1942),Monty Python and the Holy Grail (1974)
"Usual Suspects, The (1995)",Alien (1979),"Silence of the Lambs, The (1991)",2001: A Space Odyssey (1968),Schindler's List (1993),GoodFellas (1990),Taxi Driver (1976),Secrets & Lies (1996),Brazil (1985),Raging Bull (1980)
Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Godfather, The (1972)","Wizard of Oz, The (1939)",Raiders of the Lost Ark (1981),Schindler's List (1993),"Graduate, The (1967)",E.T. the Extra-Terrestrial (1982)
Titanic (1997),"English Patient, The (1996)",L.A. Confidential (1997),Air Force One (1997),"Game, The (1997)",Contact (1997),Good Will Hunting (1997),Liar Liar (1997),"Full Monty, The (1997)",Kiss the Girls (1997)
"Godfather, The (1972)",Pulp Fiction (1994),Fargo (1996),Star Wars (1977),"Godfather: Part II, The (1974)",Citizen Kane (1941),Casablanca (1942),Schindler's List (1993),L.A. Confidential (1997),Amadeus (1984)
